SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,81300 Riverlane Dr,Indio,CA,92201,315000,4,2.0,Indio Central,1987,6534,1968,25,159,,Active,,,http://www.redfin.com/CA/Indio/81300-Riverlane-Dr-92201/home/5841720,PALM,19-434644PS,N,Y,33.7309627,-116.2469571
MLS Listing,,Single Family Residential,3725 Wood Duck Cir,Stockton,CA,95207,449000,4,2.0,Northwest Stockton,2279,8276,1978,25,,38,Active,,,http://www.redfin.com/CA/Stockton/3725-Wood-Duck-Cir-95207/home/19813876,MetroList,19009353,N,Y,37.9916992,-121.3385935
MLS Listing,,Single Family Residential,10004 Jovita Ave,Chatsworth,CA,91311,625000,3,2.0,CHT - Chatsworth,1244,7708,1957,25,502,,Active,,,http://www.redfin.com/CA/Chatsworth/10004-Jovita-Ave-91311/home/5829808,CRMLS,BB19034417,N,Y,34.2519806,-118.5767775
MLS Listing,,Single Family Residential,2401 Laredo Rd,Sacramento,CA,95825,295000,2,1.0,Sacto Arden/Arcade Creek/Vicinity,899,6970,1950,25,,,Active,,,http://www.redfin.com/CA/Sacramento/2401-Laredo-Rd-95825/home/19136983,MetroList,19009071,N,Y,38.6065512,-121.4063521
MLS Listing,,Single Family Residential,7782 Neyland Way,Sacramento,CA,95829,359900,3,2.0,Sacramento Florin & Vicinity,1577,4840,2002,25,,,Active,,,http://www.redfin.com/CA/Sacramento/7782-Neyland-Way-95829/home/19100181,MetroList,19009185,N,Y,38.4735835,-121.354655
MLS Listing,,Condo/Co-op,8045 Meridian St,Chino,CA,91708,490000,4,2.5,681 - Chino,2296,3000,2013,25,213,153,Active,,,http://www.redfin.com/CA/Chino/8045-Meridian-St-91708/home/45423975,CRMLS,IV19033877,N,Y,33.9608728,-117.6292079
MLS Listing,,Single Family Residential,864 N San Diego Ave,Ontario,CA,91764,429888,4,3.0,686 - Ontario,1722,6222,1961,25,250,,Active,,,http://www.redfin.com/CA/Ontario/864-N-San-Diego-Ave-91764/home/3090792,CRMLS,IV19034057,N,Y,34.074352773,-117.6120013
MLS Listing,,Single Family Residential,6371 Orizaba Ave,Long Beach,CA,90805,519000,3,1.0,7 - North Long Beach,1088,4308,1955,25,477,,Active,,,http://www.redfin.com/CA/Long-Beach/6371-Orizaba-Ave-90805/home/7509770,CRMLS,PW19031374,N,Y,33.8705338,-118.1580502
MLS Listing,,Condo/Co-op,6128 Shelter Creek Ln #6120,SAN BRUNO,CA,94066,379999,0,1.0,SAN BRUNO,490,1679615,1972,25,776,333,Active,,,http://www.redfin.com/CA/San-Bruno/6128-Shelter-Creek-Ln-94066/unit-6120/home/1846804,MLSListings,ML81738964,N,Y,37.619843,-122.428366
MLS Listing,,Single Family Residential,6820 N Melvin Ave,San Bernardino,CA,92407,479000,4,3.0,274 - San Bernardino,2711,11326,2005,25,177,,Active,,,http://www.redfin.com/CA/San-Bernardino/6820-N-Melvin-Ave-92407/home/12139210,CRMLS,EV19033282,N,Y,34.2051842,-117.3492298
MLS Listing,,Single Family Residential,1011 Violet Ct,Beaumont,CA,92223,369900,4,2.0,263 - Banning/Beaumont/Cherry Valley,2228,7405,2008,25,166,41,Active,,,http://www.redfin.com/CA/Beaumont/1011-Violet-Ct-92223/home/17330345,CRMLS,EV19034238,N,Y,33.9364417,-116.9591414
MLS Listing,,Condo/Co-op,1754 N Kenmore Ave #301,Los Feliz,CA,90027,649000,2,2.0,637 - Los Feliz,1042,7192,1969,25,623,168,Active,,,http://www.redfin.com/CA/Los-Angeles/1754-N-Kenmore-Ave-90027/unit-301/home/7134183,CRMLS,BB19034487,N,Y,34.1033762,-118.29694
MLS Listing,,Single Family Residential,1237 Luanne Ave,Fullerton,CA,92831,825000,3,2.0,83 - Fullerton,1914,6325,1961,26,431,,Active,,,http://www.redfin.com/CA/Fullerton/1237-Luanne-Ave-92831/home/4077006,CRMLS,OC19033134,N,Y,33.8826184,-117.9181721
MLS Listing,,Condo/Co-op,20402 Santa Ana Ave #1,Newport Beach,CA,92660,688000,2,2.5,N7 - West Bay - Santa Ana Heights,1457,,2007,26,472,175,Active,,,http://www.redfin.com/CA/Newport-Beach/20402-Santa-Ana-Ave-92660/unit-1/home/17467617,CRMLS,OC19033469,N,Y,33.6616395,-117.8861907
MLS Listing,,Single Family Residential,3762 N Tamarind Ave,Rialto,CA,92377,482000,5,3.0,272 - Rialto,2356,8800,1999,26,205,,Active,,,http://www.redfin.com/CA/Rialto/3762-N-Tamarind-Ave-92377/home/3364425,CRMLS,EV19034047,N,Y,34.1674503,-117.4191813
MLS Listing,,Condo/Co-op,22256 Caminito Danubo #259,Laguna Hills,CA,92653,525000,3,2.0,S2 - Laguna Hills,1460,,1982,26,360,400,Active,March-17-2019 02:00 PM,March-17-2019 05:00 PM,http://www.redfin.com/CA/Laguna-Hills/22256-Caminito-Danubo-92653/unit-259/home/5635286,CRMLS,OC19033939,N,Y,33.6255037,-117.741462
MLS Listing,,Single Family Residential,25090 Aspen Falls Dr,Canyon Country,CA,91387,880000,5,4.0,ALIE - Aliento,3434,10402,2018,26,256,225,Active,,,http://www.redfin.com/CA/Santa-Clarita/25090-Aspen-Falls-Dr-91387/home/160450785,CRMLS,BB19033923,N,Y,34.390236124,-118.4556606
MLS Listing,,Multi-Family (2-4 Unit),847 Linden Ave,Long Beach,CA,90813,1299990,9,7.0,"4 - Downtown Area, Alamitos Beach",5770,7506,1907,26,225,,Active,,,http://www.redfin.com/CA/Long-Beach/847-Linden-Ave-90813/home/7616940,CRMLS,PW19033887,N,Y,33.7774298,-118.1866609
MLS Listing,,Condo/Co-op,1251 Trumpeter Pl,SAN JOSE,CA,95131,848000,2,2.0,SAN JOSE,1157,,1993,26,733,265,Active,,,http://www.redfin.com/CA/San-Jose/1251-Trumpeter-Pl-95131/home/1393801,MLSListings,ML81738862,N,Y,37.386379,-121.893598
